Name	Spom_LAG	Spom_LL	Spom_DS	Spom_PS	Spom_PLAT	Spom_HS5	Spom_HS15	Spom_HS30	Spom_HS60	Spom_0.2MKCl.10	Spom_0.2MKCl.20	Spom_0.2MKCl.40	Spom_0.2MKCl.80	Spom_0.4MKCl.10	Spom_0.4MKCl.20	Spom_0.4MKCl.40	Spom_0.4MKCl.80	Spom_0.8MKCl.10	Spom_0.8MKCl.20	Spom_0.8MKCl.40	Spom_0.8MKCl.80
SPAC1002.01	1.2605	-0.190484	-0.220867	-0.0299187	0.904228	-0.564143	-1.10142	-1.05935	-1.1602	-0.355711	-0.702445	-0.641605	-0.783476	0.195772	-0.206355	-0.52322	-0.499229	0.219554	0.123586	-0.38729	0.427459
SPAC1002.02	0.282984	0.277657	0.264984	0.206444	0.496251	0.335607	0.0580707	-0.461011	-0.377552	0.0698588	-0.0666273	-0.161101	-0.275312	0.00691669	0.00703459	-0.0677886	-0.149748	0.0486017	0.0363056	-0.334048	0.454208
SPAC1002.03c	-0.0799739	-0.0986093	-0.0296761	-0.236133	-0.0727616	-0.103681	-0.0954258	0.0395591	0.353694	-0.101653	-0.00936203	0.0478233	0.0334446	0.00856181	-0.0438502	0.0266268	0.222548	-0.00259159	0.0955192	-0.114094	-0.0144453
SPAC1002.04c	0.376502	0.171997	0.283575	0.156669	0.132849	0.974392	1.13061	0.682019	0.560772	0.191618	0.310814	-0.154242	0.0715248	-0.248676	0.350436	-0.0985565	-0.0873973	-0.0718066	-0.00746767	-0.302303	-0.163344
SPAC1002.05c	0.729931	0.793725	1.93989	1.97817	2.36768	0.355537	0.704709	0.258788	-0.0834927	0.143606	0.610124	-0.0440046	0.18948	-0.952299	0.572197	0.36759	0.0998166	-0.114123	0.407488	0.842887	0.78836
SPAC1002.06c	0.899029	0.854382	0.988181	1.07684	1.31234	0.599644	1.29239	0.294584	-0.113374	0.0645995	0.853943	1.00001	0.0508864	0.379157	0.532089	1.44298	0.482103	1.51363	1.69879	0.39715	1.18155
SPAC1002.07c	-0.872581	-0.0500099	-1.58874	-2.23108	-1.5969	1.13266	2.01006	2.39792	2.53354	0.137335	0.158725	0.221689	0.0307513	0.203743	0.219879	0.025475	0.213903	0.0111495	-0.0554769	-0.0260035	-0.177199
SPAC1002.08c	0.0208814	-0.0396144	-0.0732595	0.0331893	-0.0354525	-0.95408	-0.714869	-0.663672	-0.525234	0.0247545	-0.0625031	-0.0283795	-0.0120269	0.340323	0.334011	0.22895	0.193271	0.203217	0.0589155	0.491996	0.329283
SPAC1002.09c	-1.32468	0.572673	1.22253	1.34423	1.52089	0.125871	0.527809	0.687863	0.114566	0.165768	0.29936	0.322481	-0.0707009	0.118962	0.215363	0.437078	0.0100673	0.00451127	0.0632961	0.287485	0.455558
SPAC1002.10c	0.0641059	-0.129432	-1.3256	-1.40926	-0.462986	-0.19495	0.421811	0.558741	0.335634	0.0573171	0.278851	0.0353684	-0.0252965	-0.0347436	0.084039	0.32488	0.132447	-0.065395	0.0721486	-0.0601207	0.491016
SPAC1002.11	-0.0411374	-0.126358	-0.602687	-0.800926	-0.811649	-0.60486	-0.171985	-0.192938	-0.330259	0.396399	0.859449	0.425149	0.357567	0.0304223	0.533794	0.763079	0.26436	0.0449168	-0.28638	-0.252131	0.524924
SPAC1002.12c	-0.59009	0.808381	1.99321	2.07058	2.20717	0.227052	0.534811	0.624423	0.079533	0.137216	0.328463	-0.0894695	-0.0776677	0.375518	0.409429	0.467204	-0.0026682	0.560235	0.520079	0.566924	0.777403
SPAC1002.13c	-0.106669	-0.445647	-1.71406	-1.36188	-1.00702	-1.64666	-1.86927	-1.37128	-0.695994	-1.13169	-0.764977	0.369984	0.10048	-0.494738	-1.08463	0.169568	0.277587	0.00466587	-0.219649	-0.423491	-0.631876
SPAC1002.14	1.53738	-0.367462	0.773294	0.898678	0.738148	0.0970087	0.0524873	0.0593137	-0.2509	0.246777	0.0949357	0.0981231	0.0883382	0.352059	0.503345	0.170209	-0.124114	-0.0959413	0.229321	1.19599	0.35201
SPAC1002.15c	0.0679793	0.0121911	-0.0654348	-0.0300096	-0.302997	-0.02023	-0.404497	-0.366778	-0.184416	0.0154975	-0.264009	-0.137866	-0.167125	0.000894091	-0.0612645	-0.0352053	-0.107525	-0.0551447	-0.213398	-0.0487911	-0.151798
SPAC1002.16c	-0.48332	-0.333206	-0.281511	-0.191319	1.12973	-1.74237	-2.96055	-2.71723	-1.6496	-0.670558	-1.02228	-0.674238	-0.420887	-0.221833	-0.263196	-0.818453	-1.40946	-0.145681	-0.733979	-0.17165	-0.952427
SPAC1002.17c	6.48051	3.9427	2.74344	3.4956	4.35509	3.51497	3.24193	0.327109	-2.98114	0.508245	2.8571	2.97523	-1.43922	0.155562	0.495169	3.66563	-0.00627953	0.020182	0.148725	-0.0527362	4.67225
SPAC1002.18	1.42909	0.59791	0.340843	0.232718	0.557208	0.951097	0.675226	-0.256187	-0.498373	0.13845	0.940612	0.821528	-0.570733	0.0861505	-0.122712	1.07842	-0.687713	0.0210546	0.136001	-0.249832	1.78079
SPAC1002.19	8.70593	3.89683	3.67174	5.08307	5.7018	4.14324	4.01317	1.6126	-1.7977	0.387488	3.22192	3.32311	-1.84105	0.188944	0.744936	3.83467	-0.0459118	0.0897952	0.170761	0.0242197	5.72515
SPAC1006.01	-0.767929	1.31807	2.31823	2.51361	2.25977	0.371861	0.873057	0.827846	0.0874339	0.704577	1.07891	0.356268	0.299038	0.500908	1.15224	1.34606	0.793314	0.000153034	0.0998882	1.30975	2.08612
SPAC1006.02	-0.29472	-0.271791	-0.326271	-0.520475	-0.767273	-0.234181	-0.810965	-0.530385	-0.167374	0.139237	-0.240091	-0.176767	0.0641156	0.308701	0.109229	-0.46317	-0.233307	0.21271	0.375749	0.340043	-0.214596
SPAC1006.03c	0.840009	-0.459088	0.115609	0.1303	0.339569	-0.691177	-0.264475	-0.0822279	0.130158	-0.936937	-0.470237	0.0491451	-0.0121852	-1.33044	-0.999539	-0.276969	-0.00301275	-0.0356196	-0.24531	-0.555416	-0.425762
SPAC1006.05c	-0.514127	0.690033	0.822608	1.12601	0.94593	-0.372965	-0.568831	-0.510136	-0.470897	0.0687063	0.211905	0.13794	0.117721	0.153383	0.329306	0.557894	0.442392	0.182427	0.094981	0.47867	0.814918
